"Reporting starts","Reporting ends","Ad name","Campaign name","Ad set name","Ad delivery",Results,"Result indicator","Cost per results",Impressions,"Ad set budget","Ad set budget type","Amount spent (AUD)","Link clicks","CTR (link click-through rate)","CPC (cost per link click) (AUD)","Adds to cart","Cost per add to cart (AUD)","Checkouts initiated","Cost per checkout initiated (AUD)",Purchases,"Cost per purchase (AUD)","Purchases conversion value","Purchase ROAS (return on ad spend)","CPM (cost per 1,000 impressions) (AUD)",CVR,Frequency,"Ad ID","Ad set ID","Campaign ID","Hook Rate","Hold Rate New"
2026-05-07,2026-05-11,"C2 - Ad 2 - 9/4 - POST ID","CBO Scale - 9/4","Scaling Winners - 9/4",active,14,actions:offsite_conversion.fb_pixel_purchase,36.13642857,17358,"Using campaign budget",0,505.91,459,2.644314,1.1022,61,8.293607,31,16.319677,14,36.136429,956.87,1.891384,29.145639,0.03050109,1.243855,6889593065777,6889593065577,6889593065377,0,0
2026-05-07,2026-05-11,"C6 - Ad 2 - Variation 3 - 30/4","Launch - ABO - 2/4","Concept 6 - Us vs Them - Variation V1 - 30/4",not_delivering,,,,0,20,Daily,0,,,,,,,,,,,,0,,0,6906422795577,6906421099577,6883585740777,,
2026-05-07,2026-05-11,"C6 - Ad 2 - Variation 2 - 30/4","Launch - ABO - 2/4","Concept 6 - Us vs Them - Variation V1 - 30/4",not_delivering,,,,0,20,Daily,0,,,,,,,,,,,,0,,0,6906422795777,6906421099577,6883585740777,,
2026-05-07,2026-05-11,"C9 - Ad 1 - 30/4","Launch - ABO - 2/4","Concept 9 - Video Walkthrough - 30/4",active,2,actions:offsite_conversion.fb_pixel_purchase,46.565,4199,20,Daily,93.13,82,1.952846,1.135732,11,8.466364,7,13.304286,2,46.565,139.98,1.50306,22.17909,0.02439024,1.106164,6906858331177,6906858330377,6883585740777,0.21790903,0.05787092
2026-05-07,2026-05-11,"C9 - Ad 2 - 30/4","Launch - ABO - 2/4","Concept 9 - Video Walkthrough - 30/4",inactive,,,,0,20,Daily,0,,,,,,,,,,,,0,,0,6906933274977,6906858330377,6883585740777,,
2026-05-07,2026-05-11,"C9 - Ad 3 - 30/4","Launch - ABO - 2/4","Concept 9 - Video Walkthrough - 30/4",inactive,,,,0,20,Daily,0,,,,,,,,,,,,0,,0,6906933275177,6906858330377,6883585740777,,
2026-05-07,2026-05-11,"C9 - Ad 4 - 2/5","Launch - ABO - 2/4","Concept 9 - V1 - Video Walkthrough - 2/5",active,,,,15,20,Daily,0.25,,,,,,,,,,,,16.666667,,1.153846,6908120265977,6908120265777,6883585740777,0.26666667,0.13333333
2026-05-07,2026-05-11,"C9 - Ad 6 - 2/5","Launch - ABO - 2/4","Concept 9 - V1 - Video Walkthrough - 2/5",active,,,,67,20,Daily,2.21,,,,,,,,,,,,32.985075,,1.015152,6908123805977,6908120265777,6883585740777,0.37313433,0.07462687
2026-05-07,2026-05-11,"C9 - Ad 5 - 2/5","Launch - ABO - 2/4","Concept 9 - V1 - Video Walkthrough - 2/5",active,3,actions:offsite_conversion.fb_pixel_purchase,30.82333333,2913,20,Daily,92.47,70,2.403021,1.321,7,13.21,4,23.1175,3,30.823333,247.47,2.676219,31.743907,0.04285714,1.13523,6908123806177,6908120265777,6883585740777,0.32543769,0.08238929
2026-05-07,2026-05-11,"C8 - Ad 3 - 28/4 (2:2)","CBO Scale - 9/4","27th-3rd May Winner",not_delivering,,,,13,"Using campaign budget",0,0.59,,,,,,,,,,,,45.384615,,1.444444,6909469573377,6909469572577,6889593065377,0,0
